Biceli	Atauro	Dili	650
Motael	Vera Cruz	Dili	651
Caraubalo	Viqueque	Viqueque	652
Caraubalo	Viqueque	Viqueque	653
Bahalarauain	Viqueque	Viqueque	654
Caraubalo	Viqueque	Viqueque	655
Caraubalo	Viqueque	Viqueque	656
Costa	Pante Macasar	Oecussi	657
Costa	Pante Macasar	Oecussi	658
Naimeco	Pante Macasar	Oecussi	659
Cunha	Pante Macasar	Oecussi	660
Tapo/Memo	Maliana	Bobonaro	661
Comoro	Dom Aleixo	Dili	662
Seloi Malere	Aileu Vila	Aileu	663
Ailili	Manatuto	Manatuto	664
Aiteas	Manatuto	Manatuto	665
Vila Verde	Vera Cruz	Dili	666
Lahane Oriental	Nain Feto	Dili	667
Fuiloro	Lospalos	Lautem	668
Bairro Pite	Dom Aleixo	Dili	669
Caraubalo	Viqueque	Viqueque	670
Caicoli	Vera Cruz	Dili	671
Caicoli	Vera Cruz	Dili	672
Macarenhas	Vera Cruz	Dili	673
Vila Verde	Vera Cruz	Dili	674
Debos	Suai	Covalima	675
Fatuhada	Dom Aleixo	Dili	676
Caicoli	Vera Cruz	Dili	677
Acadiru Hun	Nain Feto	Dili	678
Lahane Oriental	Nain Feto	Dili	679
Caicoli	Vera Cruz	Dili	680
Debos	Suai	Covalima	681
Bidau Lecidere	Nain Feto	Dili	682
Aisirimou	Aileu Vila	Aileu	683
Suco Liurai	Aileu Vila	Aileu	684
Oe-Leu	Bobonaro	Bobonaro	685
Manapa	Cailaco	Bobonaro	686
Holsa	Maliana	Bobonaro	687
Ritabou	Maliana	Bobonaro	688
Poetete	Ermera	Ermera	689
Aisirimou	Aileu Vila	Aileu	691
Fatuhada	Dom Aleixo	Dili	692
Biceli	Atauro	Dili	693
Bairro Pite	Dom Aleixo	Dili	694
Caicoli	Vera Cruz	Dili	695
Ritabou	Maliana	Bobonaro	696
Fatulia	Venilale	Baucau	697
Uabubo	Ossu	Viqueque	698
Ulmera	Bazartete	Liquica	699
Tibar	Bazartete	Liquica	700
Colmera	Vera Cruz	Dili	701
Vatuvou	Maubara	Liquica	702
Uaigae	Vemase	Baucau	703
Seical	Baucau	Baucau	704
Motael	Vera Cruz	Dili	705
Bidau Lecidere	Nain Feto	Dili	706
Culu Hun	Cristo Rei	Dili	707
Costa	Pante Macasar	Oecussi	708
Debos	Suai	Covalima	709
Uma Berloic	Alas	Manufahi	710
Trilolo	Baucau	Baucau	711
Loidahar	Liquica	Liquica	712
Bairro Pite	Dom Aleixo	Dili	713
Fatuhada	Dom Aleixo	Dili	714
Bairro Pite	Dom Aleixo	Dili	715
Motael	Vera Cruz	Dili	716
Debos	Suai	Covalima	717
Taroman	Fatululic	Covalima	718
Mau-Ulo	Ainaro	Ainaro	719
Maubisse	Maubisse	Ainaro	720
Maubisse	Maubisse	Ainaro	721
Caicasa	Fatuberliu	Manufahi	722
Riheu	Ermera	Ermera	723
Talimoro	Ermera	Ermera	724
Bidau Lecidere	Nain Feto	Dili	725
Loidahar	Liquica	Liquica	726
